business_id,month,credit_score,engagement_events,engagement_3m,score_change_3m,funding_applied,funding_granted_gbp,is_active,is_churned,months_to_churn,months_on_platform,sector,region,default_risk_category,employees,annual_revenue_gbp
SME_0001,2024-08-01,733.0,17,,,False,0.0,True,False,,6.0,Technology,South East,Low,105,687632.89
SME_0001,2024-09-01,752.0,19,17.0,,False,0.0,True,False,,7.0,Technology,South East,Low,105,687632.89
SME_0001,2024-10-01,754.0,24,18.0,,True,0.0,True,False,,8.0,Technology,South East,Low,105,687632.89
SME_0001,2024-11-01,737.0,7,20.0,4.0,True,12349.62,True,False,,9.0,Technology,South East,Low,105,687632.89
SME_0001,2024-12-01,733.0,17,16.666666666666668,-19.0,False,0.0,True,False,,10.0,Technology,South East,Low,105,687632.89
SME_0001,2025-01-01,721.0,10,16.0,-33.0,False,0.0,True,False,,11.0,Technology,South East,Low,105,687632.89
SME_0001,2025-02-01,731.0,17,11.333333333333334,-6.0,False,0.0,True,False,,12.0,Technology,South East,Low,105,687632.89
SME_0001,2025-03-01,733.0,13,14.666666666666666,0.0,False,0.0,True,False,,13.0,Technology,South East,Low,105,687632.89
SME_0001,2025-04-01,724.0,16,13.333333333333334,3.0,False,0.0,True,False,,14.0,Technology,South East,Low,105,687632.89
SME_0001,2025-05-01,747.0,20,15.333333333333334,16.0,True,57980.18,True,False,,15.0,Technology,South East,Low,105,687632.89
SME_0001,2025-06-01,760.0,20,16.333333333333332,27.0,True,9853.3,True,False,,16.0,Technology,South East,Low,105,687632.89
SME_0001,2025-07-01,732.0,14,18.666666666666668,8.0,False,0.0,True,False,,17.0,Technology,South East,Low,105,687632.89
SME_0001,2025-08-01,728.0,14,18.0,-19.0,False,0.0,True,False,,18.0,Technology,South East,Low,105,687632.89
SME_0001,2025-09-01,743.0,14,16.0,-17.0,False,0.0,True,False,,19.0,Technology,South East,Low,105,687632.89
SME_0001,2025-10-01,738.0,22,14.0,6.0,False,0.0,True,False,,20.0,Technology,South East,Low,105,687632.89
SME_0001,2025-11-01,738.0,15,16.666666666666668,10.0,False,0.0,True,False,,21.0,Technology,South East,Low,105,687632.89
SME_0001,2025-12-01,751.0,23,17.0,8.0,True,48637.82,True,False,,22.0,Technology,South East,Low,105,687632.89
SME_0001,2026-01-01,758.0,13,20.0,20.0,False,0.0,True,False,,23.0,Technology,South East,Low,105,687632.89
SME_0002,2024-08-01,594.0,4,,,False,0.0,True,True,17.0,31.0,Manufacturing,South East,Medium,69,517282.29
SME_0002,2024-09-01,595.0,10,4.0,,False,0.0,True,True,16.0,32.0,Manufacturing,South East,Medium,69,517282.29
SME_0002,2024-10-01,587.0,10,7.0,,False,0.0,True,True,15.0,33.0,Manufacturing,South East,Medium,69,517282.29
SME_0002,2024-11-01,565.0,12,8.0,-29.0,False,0.0,True,True,14.0,34.0,Manufacturing,South East,Medium,69,517282.29
SME_0002,2024-12-01,575.0,7,10.666666666666666,-20.0,False,0.0,True,True,13.0,35.0,Manufacturing,South East,Medium,69,517282.29
SME_0002,2025-01-01,598.0,14,9.666666666666666,11.0,False,0.0,True,True,12.0,36.0,Manufacturing,South East,Medium,69,517282.29
SME_0002,2025-02-01,599.0,10,11.0,34.0,False,0.0,True,True,11.0,37.0,Manufacturing,South East,Medium,69,517282.29
SME_0002,2025-03-01,608.0,11,10.333333333333334,33.0,False,0.0,True,True,10.0,38.0,Manufacturing,South East,Medium,69,517282.29
SME_0002,2025-04-01,621.0,11,11.666666666666666,23.0,False,0.0,True,True,9.0,39.0,Manufacturing,South East,Medium,69,517282.29
SME_0002,2025-05-01,589.0,8,10.666666666666666,-10.0,True,53818.04,True,True,8.0,40.0,Manufacturing,South East,Medium,69,517282.29
SME_0002,2025-06-01,594.0,13,10.0,-14.0,False,0.0,True,True,7.0,41.0,Manufacturing,South East,Medium,69,517282.29
SME_0002,2025-07-01,586.0,16,10.666666666666666,-35.0,True,0.0,True,True,6.0,42.0,Manufacturing,South East,Medium,69,517282.29
SME_0002,2025-08-01,579.0,11,12.333333333333334,-10.0,False,0.0,True,True,5.0,43.0,Manufacturing,South East,Medium,69,517282.29
SME_0002,2025-09-01,572.0,10,13.333333333333334,-22.0,False,0.0,True,True,4.0,44.0,Manufacturing,South East,Medium,69,517282.29
SME_0002,2025-10-01,572.0,16,12.333333333333334,-14.0,False,0.0,True,True,3.0,45.0,Manufacturing,South East,Medium,69,517282.29
SME_0002,2025-11-01,557.0,11,12.333333333333334,-22.0,False,0.0,True,True,2.0,46.0,Manufacturing,South East,Medium,69,517282.29
SME_0002,2025-12-01,582.0,7,12.333333333333334,10.0,False,0.0,True,True,1.0,47.0,Manufacturing,South East,Medium,69,517282.29
SME_0002,2026-01-01,582.0,0,11.333333333333334,10.0,False,0.0,False,True,0.0,48.0,Manufacturing,South East,Medium,69,517282.29
SME_0003,2024-08-01,681.0,15,,,False,0.0,True,False,,27.0,Technology,Midlands,Low,111,254751.77
SME_0003,2024-09-01,668.0,17,15.0,,False,0.0,True,False,,28.0,Technology,Midlands,Low,111,254751.77
SME_0003,2024-10-01,672.0,14,16.0,,False,0.0,True,False,,29.0,Technology,Midlands,Low,111,254751.77
SME_0003,2024-11-01,687.0,14,15.333333333333334,6.0,False,0.0,True,False,,30.0,Technology,Midlands,Low,111,254751.77
SME_0003,2024-12-01,693.0,20,15.0,25.0,False,0.0,True,False,,31.0,Technology,Midlands,Low,111,254751.77
SME_0003,2025-01-01,684.0,17,16.0,12.0,False,0.0,True,False,,32.0,Technology,Midlands,Low,111,254751.77
SME_0003,2025-02-01,685.0,14,17.0,-2.0,True,62983.34,True,False,,33.0,Technology,Midlands,Low,111,254751.77
SME_0003,2025-03-01,678.0,9,17.0,-15.0,False,0.0,True,False,,34.0,Technology,Midlands,Low,111,254751.77
SME_0003,2025-04-01,669.0,9,13.333333333333334,-15.0,False,0.0,True,False,,35.0,Technology,Midlands,Low,111,254751.77
SME_0003,2025-05-01,673.0,10,10.666666666666666,-12.0,False,0.0,True,False,,36.0,Technology,Midlands,Low,111,254751.77
SME_0003,2025-06-01,699.0,18,9.333333333333334,21.0,False,0.0,True,False,,37.0,Technology,Midlands,Low,111,254751.77
SME_0003,2025-07-01,710.0,17,12.333333333333334,41.0,False,0.0,True,False,,38.0,Technology,Midlands,Low,111,254751.77
SME_0003,2025-08-01,704.0,16,15.0,31.0,False,0.0,True,False,,39.0,Technology,Midlands,Low,111,254751.77
SME_0003,2025-09-01,713.0,13,17.0,14.0,False,0.0,True,False,,40.0,Technology,Midlands,Low,111,254751.77
SME_0003,2025-10-01,706.0,11,15.333333333333334,-4.0,False,0.0,True,False,,41.0,Technology,Midlands,Low,111,254751.77
SME_0003,2025-11-01,720.0,11,13.333333333333334,16.0,True,59890.62,True,False,,42.0,Technology,Midlands,Low,111,254751.77
SME_0003,2025-12-01,731.0,12,11.666666666666666,18.0,False,0.0,True,False,,43.0,Technology,Midlands,Low,111,254751.77
SME_0003,2026-01-01,730.0,12,11.333333333333334,24.0,True,73840.32,True,False,,44.0,Technology,Midlands,Low,111,254751.77
SME_0004,2024-08-01,573.0,17,,,False,0.0,True,False,,24.0,Services,North West,Medium,36,135384.33
SME_0004,2024-09-01,576.0,10,17.0,,False,0.0,True,False,,25.0,Services,North West,Medium,36,135384.33
SME_0004,2024-10-01,579.0,6,13.5,,False,0.0,True,False,,26.0,Services,North West,Medium,36,135384.33
